PERFIL_ELEITORADO,CONSULTA_CAND_2010,CONSULTA_CAND_2012,CONSULTA_CAND_2014,BEM_CANDIDATO,CONSULTA_LEGENDAS,CONSULTA_VAGAS,VOTACAO_CANDIDATO_MUN_ZONA_2012,VOTACAO_CANDIDATO_MUN_ZONA_2014,VOTACAO_PARTIDO_MUN_ZONA_2012,VOTACAO_PARTIDO_MUN_ZONA_2014,VOTO_SECAO,DETALHE_VOTACAO_MUN_ZONA_2012,DETALHE_VOTACAO_MUN_ZONA_2014
PERIODO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO,DATA_GERACAO
UF,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO,HORA_GERACAO
MUNICIPIO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO,ANO_ELEICAO
COD_MUNICIPIO_TSE,NUM_TURNO ,NUM_TURNO ,NUM_TURNO ,DESCRICAO_ELEICAO,NUM_TURNO,DESCRICAO_ELEICAO,NUM_TURNO,NUM_TURNO,NUM_TURNO,NUM_TURNO,NUM_TURNO,NUM_TURNO,NUM_TURNO
NR_ZONA,DESCRICAO_ELEICAO,DESCRICAO_ELEICAO,DESCRICAO_ELEICAO,SIGLA_UF,DESCRICAO_ELEICAO,SIGLA_UF,DESCRICAO_ELEICAO,DESCRICAO_ELEICAO,DESCRICAO_ELEICAO,DESCRICAO_ELEICAO,DESCRICAO_ELEICAO,DESCRICAO_ELEICAO,DESCRICAO_ELEICAO
SEXO,SIGLA_UF,SIGLA_UF,SIGLA_UF,SQ_CANDIDATO,SIGLA_UF,SIGLA_UE,SIGLA_UF,SIGLA_UF,SIGLA_UF,SIGLA_UF,SIGLA_UF,SIGLA_UF,SIGLA_UF
FAIXA_ETARIA,SIGLA_UE ,SIGLA_UE ,SIGLA_UE ,CD_TIPO_BEM_CANDIDATO,SIGLA_UE,NOME_UE,SIGLA_UE,SIGLA_UE,SIGLA_UE,SIGLA_UE,SIGLA_UE,SIGLA_UE,SIGLA_UE
GRAU_DE_ESCOLARIDADE,DESCRICAO_UE,DESCRICAO_UE,DESCRICAO_UE,DS_TIPO_BEM_CANDIDATO,NOME_UE,CODIGO_CARGO,CODIGO_MUNICIPIO,CODIGO_MUNICIPIO,CODIGO_MUNICIPIO,CODIGO_MUNICIPIO,CODIGO_MUNICIPIO,CODIGO_MUNICIPIO,CODIGO_MUNICIPIO
QTD_ELEITORES_NO_PERFIL,CODIGO_CARGO,CODIGO_CARGO,CODIGO_CARGO,DETALHE_BEM,CODIGO_CARGO,DESCRICAO_CARGO,NOME_MUNICIPIO,NOME_MUNICIPIO,NOME_MUNICIPIO,NOME_MUNICIPIO,NOME_MUNICIPIO,NOME_MUNICIPIO,NOME_MUNICIPIO
,DESCRICAO_CARGO,DESCRICAO_CARGO,DESCRICAO_CARGO,VALOR_BEM,DESCRICAO_CARGO,QTDE_VAGAS,NUMERO_ZONA,NUMERO_ZONA,NUMERO_ZONA,NUMERO_ZONA,NUM_ZONA,NUMERO_ZONA,NUMERO_ZONA
